"Course_name","Course_content","Course_Prerequisites","Course_Main_themes","Course_Main_Aims","Course_master"
"Comparative industrial relations systems",NA,"Aims","Some explanatory theories of industrial relations systems. - Interrelations between, on the one hand, the law of the land and, on the other, law as established under collec-tive agreements; the intervention of the state, and autonomy of the social partners. - The structures, ideologies and strategies of employers' association and trade unions; political options and sys-tems for recognising representativeness. - The diversity and degrees of institutionalisation and representation.","To introduce students to explanatory theoretical frameworks of industrial relations systems. - To help them understand the specific linkage of various 'typical' systems that have grown up in European countries. - To help them identify, and make a comparative analysis of, the main specific features of, and differences be-tween, these typical systems and explanatory variables.          The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Labour sciences (shift schedule)"
"Comparative industrial relations systems",NA,"Aims","Some explanatory theories of industrial relations systems. - Interrelations between, on the one hand, the law of the land and, on the other, law as established under collec-tive agreements; the intervention of the state, and autonomy of the social partners. - The structures, ideologies and strategies of employers' association and trade unions; political options and sys-tems for recognising representativeness. - The diversity and degrees of institutionalisation and representation.","To introduce students to explanatory theoretical frameworks of industrial relations systems. - To help them understand the specific linkage of various 'typical' systems that have grown up in European countries. - To help them identify, and make a comparative analysis of, the main specific features of, and differences be-tween, these typical systems and explanatory variables.          The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Human Resources Management"
"Comparative industrial relations systems",NA,"Aims","Some explanatory theories of industrial relations systems. - Interrelations between, on the one hand, the law of the land and, on the other, law as established under collec-tive agreements; the intervention of the state, and autonomy of the social partners. - The structures, ideologies and strategies of employers' association and trade unions; political options and sys-tems for recognising representativeness. - The diversity and degrees of institutionalisation and representation.","To introduce students to explanatory theoretical frameworks of industrial relations systems. - To help them understand the specific linkage of various 'typical' systems that have grown up in European countries. - To help them identify, and make a comparative analysis of, the main specific features of, and differences be-tween, these typical systems and explanatory variables.          The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Labour Sciences (shift schedule)"
"Public-sector innovation: theoretical foundations",NA,"Aims",NA,"Master [120] in Public Administration 	                                                     ADPM2M                                  5                                        -","Master [120] in Public Administration"
"Innovative public management : Human ressources management",NA,"Aims",NA,"Master [120] in Public Administration 	                                                     ADPM2M                                  5                                        -","Master [120] in Public Administration"
"Place-based approach and innovative local public action",NA,"Aims",NA,"Master [120] in Public Administration 	                                                     ADPM2M                                  5                                        -","Master [120] in Public Administration"
"Implementing public-sector innovation",NA,"Aims",NA,"Master [120] in Public Administration 	                                                     ADPM2M                                  5                                        -","Master [120] in Public Administration"
"Political Theories and Systems of the European Union","History and theories of European integration. The institutional settings. Internal and External EU policies.","MSPOL1119 Political Science  	MSPOL1232 Comparative political systems  	MDROI1310 European Union institutional law  	MSPOL1331 Political history of the European integration","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms. ","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Political Sciences: International Relations"
"Political Theories and Systems of the European Union","History and theories of European integration. The institutional settings. Internal and External EU policies.","MSPOL1119 Political Science  	MSPOL1232 Comparative political systems  	MDROI1310 European Union institutional law  	MSPOL1331 Political history of the European integration","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms. ","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Political Sciences: General"
"Political Theories and Systems of the European Union","History and theories of European integration. The institutional settings. Internal and External EU policies.","MSPOL1119 Political Science  	MSPOL1232 Comparative political systems  	MDROI1310 European Union institutional law  	MSPOL1331 Political history of the European integration","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms. ","This course is interested in the dynamics of European integration and the theories that have been devised to make sense of it and of European policies. It will focus on the EU from a comparative perspective, using the tools that Political science has developed overtime in order to understand how political systems operate in general. In doing so, the course will review: the three major powers within the EU and their institutional interactions; the interplay of the variety of actors who act on the European multilevel arena in order to contribute to the definition of the policies that are produced by the EU; a mix of domestic and outward-oriented EU policies. The course will also explore the idiosyncrasies of the EU as a governance sphere that borrows from a diversity of government models and modes of interactions between the actors of the political and social realms.            The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Public Administration"
"International Crisis and Conflicts",NA,"Aims",NA,"Master [120] in Political Sciences: International Relations 	                                                     PRIM2M                                  5                                        -","Master [120] in Political Sciences: International Relations"
"Geomorphology and Geoarchaeology","Introduction to geoarchaeology (disciplinary history, major geomorphological contexts, bibliography); introduction to sedimentology and pedology (description and characterization of soils 	and sediments, notion of sedimentary facies); archaeological micromorphology (principles and applications); alluvial geoarchaeology; coastal geoarchaeology; introduction to archaeoseismology. 	 ","/","The course proposes an introduction to the application of Earth science (geology, geomorphology, pedology) concepts and methods in archaeological contexts.","Through this course, students will receive a general introduction to geoarchaeology (concepts, methods, applications). At the end of the course, students should be able to locate relevant information in specialized reference sources, and to identify geoscientific techniques amenable to the resolution of archaeological research questions.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in History of Art and Archaeology : General"
"Geomorphology and Geoarchaeology","Introduction to geoarchaeology (disciplinary history, major geomorphological contexts, bibliography); introduction to sedimentology and pedology (description and characterization of soils 	and sediments, notion of sedimentary facies); archaeological micromorphology (principles and applications); alluvial geoarchaeology; coastal geoarchaeology; introduction to archaeoseismology. 	 ","/","The course proposes an introduction to the application of Earth science (geology, geomorphology, pedology) concepts and methods in archaeological contexts.","Through this course, students will receive a general introduction to geoarchaeology (concepts, methods, applications). At the end of the course, students should be able to locate relevant information in specialized reference sources, and to identify geoscientific techniques amenable to the resolution of archaeological research questions.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in History of Art and Archaeology : General
"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Ancient Languages and Literatures: Oriental Studies"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Ancient Languages and Literatures: Classics"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Ancient Languages and Literatures : Oriental Studies"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in History"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in History of Art and Archaeology : General"
"Aegean Civilisations B","In 2015-2016, the course concentrates on the emergence and development of Mycenaean palatial society (2000-1100 BC). 	We critically interrogate archaeological data of the different regions (Mainland, Islands, Cyprus, Asia Minor) that, at one time or another, were influenced by Mycenaean civilisation, highlighting parallels and differences. Information given by the Linear B tablets is also taken into account. 	The topic also allows treating the destruction of Mycenaean palaces and the problems related to the beginning of the Dark Ages around 1200 BC (as well as the Sea Peoples).","Understand English.","This course tackles specific questions and interpretative problems related to the reconstruction of social and political relations on the basis of archaeological data of Mycenaean Greece (ca. 2000-1100 BC) and the use of art and Linear B texts in this reconstruction.","Advanced training for archaeologists interested in the Prehellenic and Greek Aegean. 	Develop critical thinking and methods of analysis of material culture; apply theoretical and anthropological concepts in archaeological interpretation. The course allows the student to develop and apply critical sense and interpretative methods on monuments and artefacts provided by Aegean archaeology in general and Mycenaean archaeology in particular.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in History of Art and Archaeology : General
"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Public Administration"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Political Sciences: General"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Political Sciences: International Relations"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Ancient Languages and Literatures: Oriental Studies"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Political Sciences: General"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Anthropology"
"Analysis of contemporary Japanese society","This course aims to describe and situate the Japanese contemporary society in a global context, in focusing on several important moments of the country that can be observed from different points of view. The course intends to consider not only the well known historical facts as capitulation, the speedy economic developing period after the WWII, but also the more recent facts that can be understood as universal facts. For instance, the economic bubble bursting in 1990s and its results (i.e., the terrorism in Tokyo subway by an sect « Aum » in 1995), the most recent economic 	crisis in 2008, the absence of the people's confidence in today's politics, the problems of Nuclear energy and questioning on other potential energy sources, the lack of freedom of thought and communication (the 3 last topics are the consequences of the North-East Japan Earthquake in March 2011). 	The course respects a priori a chronology of these actual facts. However, certain intemporary aspects of the Japanese culture, like Japanese people's behavioral tendencies, the notions of ambiguity, of generosity and of politeness, are constantly mentioned, since these cultural features are indispensable to understand the Japanese Society in general.","/","An introduction to the principal aspects of contemporary Japanese society in the post-war period. The course touches on the following themes: 	1. How to build a new national identity after the defeat of the WWII in political, economic and cultural contexts; 	2. How to impose as a high-developed country at an international stage and how to master the different problems due to its so fast developing strategy; 	3. How to react firmly in the case of diverse crises like natural disaster (earthquake, tsunami and typhoon) or the facts caused by human (economic crises, unstable political situation, pollution); 	4. How to keep hope in the future of the country in a harmonious way (not denying the country, nor neglecting the other countries' reactions). 	 ","At the end of this course, the student will be able to understand and to explain adequately topics the Japenese contemporary society presents as its features and/or problems. The student will also be able to deal with concerned subjects with a comparative point of vue, in distinguishing between European and Japanese issues.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [60] in Ancient Languages and Literatures : Oriental Studies"
"Discourse Analysis","After a brief state of the art of the different theoretical schools and domains of application of discourse analysis, the course will deepen one particular domain focussing on the specific analysis methods that go with it. The students will apply themselves the analysis techniques in the framework of a practical. The course contain a number of plenary lectures (invited speakers), but will also require the student's active participation : reading, exercises, discussions, etc.","Introductory course to linguistics. ","This course gives an overview of what discourse analysis is and covers the main methodological questions. It will treat discourse analysis from different points of view, in particular: linguistics (texture and cohesion), psycholinguistics (coherence, processing), sociolinguistics (conversation analysis, critical discourse analysis,).","Students will be able:  	- to develop global knowledge of the different domains covered by discourse analysis as a discipline  	- to apply the different theoretical concepts to concrete language situations  	- to acquire detailed knowledge of at least one domain of investigation of discourse analysis.           The contribution of this Teaching Unit to the development and          command of the skills and learning outcomes of the programme(s) can be          accessed at the end of this sheet, in the section entitled          “Programmes/courses offering this Teaching Unit”.","Master [120] in Ancient and Modern Languages and Literatures"
