"Titles","Abstracts","Sector"
"A Cognitive Perspective","… For example, when thinking about artificial intelligence (AI) in healthcare, Christopher Khoury,
vice president of … was driven by the question of “What if you could use data science to … around those
tendencies?” Using more than 700 variables and machine learning, the company … 
","Human health and social work activities"
"[BOOK][B] Dare to Lead: Brave Work. Tough Conversations. Whole Hearts.","… I left that job to study social work, and I didn't think then that I would … research-based practices,
the more painstakingly precise I need to be with the data and the … and the importance of empathy
and relationship-building in the context of machine learning and artificial intelligence … 
","Human health and social work activities"
"Methods and systems for growing and retaining the value of brand drugs by computer predictive model","… methods specially adapted for specific business sectors, eg utilities or tourism; G06Q50/10—
Services; G06Q50/22—Social work … [0042]. Learning Machine—refers to a … or semi-automated
process of generating a prediction based on a model, typically combining software and data … 
","Human health and social work activities"
"Hands on the wheel: Navigating algorithmic management and Uber drivers' autonomy","… More recently, with the rise of big data collection and machine learning techniques, algorithms
have … Moreover, algorithms based on big data and statistics are often too complex to understand,
and since … referring to theory and the academic literature to inform our data analysis … 
","Human health and social work activities"
"Sentiment analysis for hate speech detection on social media: TF-IDF weighted N-Grams based approach","… As such, preprocessing unstructured data is a very important role in the text classification … The
number of features can therefore be quite big for a corpus that is average sized … problems and
poses a significant problem to many machine learning algorithms (Yang & Pedersen … 
","Human health and social work activities"
"[BOOK][B] The Cambridge Handbook of Technology and Employee Behavior","… AND TARA K. MCCLURE 3 The Reciprocal Roles of Artificial Intelligence and Industrial … in Business
Administration from Babson College and a Master's in Social Work from Boston … of journals
including PLOS ONE, IEEE Transactions on Knowledge and Data Engineering, IEEE … 
","Human health and social work activities"
"Analysing large volumes of complex qualitative data-Reflections from a group of international experts","… Georgia Philip is a Research Fellow in the School of Social Work, at the University of East Anglia …
analysis?' In so doing, he considers the advantages and challenges of using Machine Learning
to assist with coding and help researchers handle large volumes of data in a … 
","Human health and social work activities"
"Access to Algorithms","… the machine 'thinks': Understanding opacity in machine learning algorithms, 3 BIG DATA
&SOCIETY (2016) (“[R]arely does one have any concrete sense of how or why a particular
classification has been arrived at from inputs.”); Vijay Pande, Artificial intelligence's “Black Box” … 
","Human health and social work activities"
"[BOOK][B] Teen Mental Health in an Online World: Supporting Young People Around Their Use of Social Media, Apps, Gaming, Texting and the Rest","… You may be working in health, education, social work, the criminal justice system, or elsewhere …
light on shady practices and raised widespread public concern about how our data is being … and
we go on to consider emerging technologies such as artificial intelligence and virtual … 
","Human health and social work activities"
"[PDF][PDF] CSUNPOSIUM","… Department of Linguistics Faculty Mentor: Hyung-Jo Yoon Abstract Title: Error Correction Feedback
as an Effective Learning Tool: Perceptions … 10:40AM Alessandra Luppi Graduate, Department
of Social Work Faculty Mentor: Hyun-Sun Park Abstract Title: Self-Esteem in Young … 
","Human health and social work activities"
"[BOOK][B] Using Artificial Intelligence in Marketing: How to Harness AI and Maintain the Competitive Edge","… The most positive effect is seen in the health and social work sector, where employment could …
Using Artificial Intelligence in Marketing 8 chemicals, oil, electricity; then the micro-processor …
It can help us to understand sales and marketing data, looking for trends; looking at … 
","Human health and social work activities"
"[BOOK][B] Emotional AI: The rise of empathic media","… in emotional life is indivisible from the increase in applications of artificial intelligence (AI) and …
where I asked UK citizens how they feel about biometric data and gaming … draws on interviews
with facial coding firms that apply computer vision and machine-learning technologies to … 
","Human health and social work activities"
"The Et Interview: Professor Charles Manski","… It's fair to say that among the many big hits of yours, this is the biggest. Do you agree? Chuck:
Absolutely … Irv was in social work. He didn't have a technical background. He did empirical work …
He had longitudinal data and wanted to estimate a transition probability … 
","Human health and social work activities"
"The Proceedings of Medical Quality 2018: Improving Population Health Through Health Equity and Patient Advocacy","Skip to main content … 
","Human health and social work activities"
"[BOOK][B] Scientific Reasoning and Argumentation: The Roles of Domain-specific and Domain-general Knowledge","… Library of Congress Cataloging-in-Publication Data Names: Fischer, Frank, 1942- editor … Christian
Ghanem, Theories and Methods of Social Work, Katholische Stiftungshochschule München
(KSH … for the limits of domain-generality based on work in machine learning and natural … 
","Human health and social work activities"
"[PDF][PDF] Hands on the wheel: Navigating algorithmic management and Uber drivers'","… More recently, with the rise of big data collection and machine learning techniques, algorithms
have … Moreover, algorithms based on big data and statistics are often too complex to understand,
and since … referring to theory and the academic literature to inform our data analysis … 
","Human health and social work activities"
"[BOOK][B] A new vision for center-based engineering research","… sustainable clean energy, robotics, unprecedented communications and connectivity, and artificialintelligence (AI) to … increasingly interconnected world; 3. Leverage the emerging fields of data
science and … 2016/nsf- director-c%C3%B3rdova-proposes-nine-big-ideas-foundation … 
","Human health and social work activities"
"[PDF][PDF] Exploring the challenges faced by the primary care-givers of children living with cognitive disabilities","… researcher to have an opportunity for learning. However, the major disadvantage is that the …
first aid training. 4.3 Themes arising from the data that was collected … Zimbabwe; she wouldcome back with a smile on her face about how they have made her day … 
","Human health and social work activities"
"[PDF][PDF] The future of well-being in a tech-saturated world","… Dangers: Tiziana Dearing, a professor at the Boston College School of Social Work, said, “People's
well … lives, technology companies will find new, invasive ways to exploit data generated on … As
we enter the Artificial Intelligence era we must examine and make transparent how … 
","Human health and social work activities"
"[HTML][HTML] Clinical ascertainment of health outcomes in Asian survivors of childhood cancer: a systematic review","… After that, the investigators (LHP, LP, YTC) then extracted data independently, peer- reviewed
each other's summary of the study results … or “gastrointestinal” or “hepatic” or “liver” or “vision”
or “visual” or “hearing” or “auditory” or “dental” or “relapse” or “recurrence” or “deficits … 
","Human health and social work activities"
"Auditing the coding and abstracting of documents","… G—PHYSICS; G06—COMPUTING; CALCULATING; COUNTING; G06Q—DATA PROCESSING
SYSTEMS OR METHODS … business sectors, eg utilities or tourism; G06Q50/10—Services;
G06Q50/22—Social work … human coder or at least semi-automatically using a machine (eg, a … 
","Human health and social work activities"
"Countering Expansion and Organization of Terrorism in Cyberspace","… making processes. I collected empirical data on the situational factors and the thought and the
decision-making processes of experts by performing secondary data analysis and … DefinitionsArtificial intelligence (AI): The science and engineering of creating intelligent … 
","Human health and social work activities"
"[BOOK][B] Value Dominant Logic: Helping Individuals and Their Companies to Succeed","… and Develop Technology and Value Long Run: Think of the Future Artificial Intelligence and
Emotional … Examples of Value Data, and How Companies Have Used This Data Changing the …
Customer Circles and Shared Visions Customer Circles and Team-Learning Examples of … 
","Human health and social work activities"
"The impact of digital disruption in the maintenance service industry, in the oil and gas sector","… developments. The current trend of automation, artificial intelligence, robotics, big data
analysis, Internet of things (IoT), machine learning and cloud computing are some
elements of the digital disruption that are currently emerging. A … 
","Human health and social work activities"
"Evaluation of support and training sign language services at Setotolwane Secondary School","… DATA PRESENTATION, ANALYSIS AND INTERPRTATION ..... 27 … Starner, Weaver and
Pentland (1998) present two real-time machine systems for … learners with hearing impairments
in using an educational game for learning the Sign Language … 
","Human health and social work activities"
"Tracking and Controlling Inter-System Processing Events Using Event Tokens","… or tourism; G06Q50/10—Services; G06Q50/22—Health care, eg hospitals; Social work; … disclosure
relate to data processing, artificial intelligence, and using artificial intelligence-enabled data … event
token management computing platform 110 may receive adjudication data from a … 
","Human health and social work activities"
"[PDF][PDF] STATE OF THE NORTH","… There are five big challenges which this generation will need to meet as they gradually …
Digitalisation, artificial intelligence, machine learning and advanced robotics are of particular
focus for economists, and are starting to … Source: HMRC, 'Summary data tables' (HMRC 2017) … 
","Human health and social work activities"
"The Future of Marketing–An Investigation into Disruption and Innovation","… Hoanca, 2015, p. 45) for market research, which will itself become automated. Privacy may
fall by the wayside as marketing applications use deep learning to … expected innovations around
analytics, Big Data, machine learning, and artificial intelligence … 
","Human health and social work activities"
"Value co-creation and potential benefits through big data analytics: Health benefit analysis","… practice where the newer healthcare delivery models depend on user-friendly, real-time big data
analytics, artificial intelligence (AI) and machine learning (ML) tools, and that millions … regarding
the Finnish health data environment. However, they do not provide any … 
","Human health and social work activities"
"[BOOK][B] Toward information justice: Technology, politics, and policy for data in higher education administration","… 31 2.2 Big Data in Higher Education … scientists and users to accept current data practices and
outcomes as natural or inevitable, and to make data use the … Even in manual technolo- gies, the
technique reduces the human to machine, carrying out tasks as if human practitioners … 
","Human health and social work activities"
"Marketplaces, markets, and market design","… 27 https://www.econjobrumors.com/ 28 Similarly, on another internet domain entirely, Microsoft
had to quickly withdraw an artificial intelligence “chatbot” designed to … anonymous websites for
job market information in time for the 2018–2019 job market.31,32 I'll come back to this … 
","Human health and social work activities"
"[BOOK][B] The Psychology of Music: A Very Short Introduction","… Barnes ART HISTORY Dana Arnold ART THEORY Cynthia Freeland ARTIFICIAL INTELLIGENCE
Margaret A … BIBLE John Riches BIBLICAL ARCHAEOLOGY Eric H. Cline BIG DATA Dawn E … and
Peter Just SOCIAL PSYCHOLOGY Richard J. Crisp SOCIAL WORK Sally Holland … 
","Human health and social work activities"
"[BOOK][B] Human: Solving the global workforce crisis in healthcare","… what it is today but, unfortunately, we just couldn't find enough consistent data across countries …
This is a big global problem now and it will worsen over the next decade … investment strategies,
as well as harnessing the disruptive power of technology and artificial intelligence (AI … 
","Human health and social work activities"
"[PDF][PDF] Coding Over the Cracks: Predictive Analytics and Child Protection","… families and families of color.3 In this age of automation and artificial intelligence, a tempting … are
building and deploying tools that pull together vast quantities of data stored by … analytics and
explains the fundamentally human process of developing a machine learning algorithm … 
","Human health and social work activities"
"[BOOK][B] Kites in a Hurricane: Startups from Cradle to Fame","… books per year, and a growing range of library products including archives, data, case studies …
Right from K12 to learning and development about emotions management, there is enough
potential for … first-time entrepreneurs to ask the right questions, solve for big problems, and … 
","Human health and social work activities"
"[PDF][PDF] Full Text-Volume 11, Issue 1","… and have the tools, skills, and primary sources needed to advance their work.” A big goal, and …
While we do well to use caution in theorizing with limited data, there is arguably … matters, and he
held the community together through many hardships that included recurring bouts of … 
","Human health and social work activities"
"[BOOK][B] Trends and Issues in Interdisciplinary Behavior and Social Science: Proceedings of the 5th International Congress on Interdisciplinary Behavior and Social …","… light on researches about depression, especially in the Malaysian context as there is a big lack
of … Besides, the systematic data collection and analysis method are suggested to be replicated
for other phenomenological studies … Journal of Social Work Practice, 13(2), 135–145 … 
","Human health and social work activities"
"[PDF][PDF] Faculty Senate Chronicle for May 4, 2017","… Senator Randby presented a motion on the learning management syste (LMS) (see Appendix
D … Senator Randby reported that while this will be a big change, we should be able … 16-18686
Foundation Field Practicum CHP-SOCIAL-16-18683 Science of Social Work CHP-SOCIAL … 
","Human health and social work activities"
"Print and Screen, Muriel Cooper at MIT","… alphanumeric data” confronted by computer users, and her group's work to combat it.1 The … thinking,artificial intelligence, and the user interface motivated by many of her peers, especially in MIT's
Architecture Machine Group and at the MIT Media Lab. Finally, Cooper benefited … 
","Human health and social work activities"
"Efficiency, Correctness, and the Authority of Automation: Technology in College Basic Writing Instruction","… 101 DATA ANALYSIS … Yet there also are moments of authentic possibility for broader learning
and understanding through the use of the automated system … “Virtually all remedial English at
the college level could be handled by automation, with the machine as an impartial judge … 
","Human health and social work activities"
"[HTML][HTML] The latest news from BUIRA 'Researching (In) equalities at Work': Postgraduate Researchers' Methods Symposium","… Dr Sarah King-Hele (UKDS) and Dr Anthony Rafferty (AMBS) will discuss the practicalities of
accessing and utilising existing large data sources useful for studying … Her contributions to the
field of research and student learning relating to these topics is substantial and significant … 
","Human health and social work activities"
"[PDF][PDF] COMITÉ D'AGRÉMENT DES PROGRAMMES D'ÉTUDES EN COMMON LAW CANADIENS","… 34 Figure 4 Individual University Data on Applicants and Registrants … 42 2.3 Learning
Outcomes, Curriculum, Structure, Assessments and Delivery Methods … 
","Human health and social work activities"
"China: Advantages and Risks of the Entrepreneurial State","… However, it also shows how effective the Chinese government is becoming in learning from its …
of corruption have been widespread across China and they have been as big as the … that prevails
in the—once financially prudent—European Union (World Bank data, accessed 27 … 
","Human health and social work activities"
"MOBILE-EYES FOR CHANGE Immersive Reality Technologies and the Design of Human Services:(A CASE STUDY IN AUTISM SPECTRUM DISORDER)","… The project will conclude by offering implications and directions for future research. Keywords:
Virtual Reality, Autism, Learning, Innovation, Documentary, Disruption, Service Design,
Futures Page 5 … 58 empathy machine or hype machine? .... 59 … 
","Human health and social work activities"
"[BOOK][B] Virtual Reality and the Criminal Justice System: Exploring the Possibilities for Correctional Rehabilitation","… Page 13. Introduction 5 Figure 0.1. Sensorama machine. Image courtesy of Katalin Heilig. goggles
for the purpose of streaming data or images to the user … Semi- and fully-immersive systems have
been commonly used when the participant is learning or practicing new skills … 
","Human health and social work activities"
"Re-examining and re-conceptualising Enterprise Search and Discovery capability: Towards a model for the factors and generative mechanisms for search task …","… 225 5.6.2.3 Suboptimal Learning/Sharing culture … These include, the Statistical Machine (Goldberg
1927), Mundaneum (Otlet 1934), World Brain(Wells 1937), Universal … Organizations seek to exploit
'big data' volumes for differentiating insights supporting wealth creation … 
","Human health and social work activities"
"A Framework of Distributed Affect in Text-Based Communication","… intention of exploring its implications for artificial intelligence (2003). Aragon and Williams …
affective components observed in the data … processes that are involved in “memory, decision
making, inference, reasoning, learning, and so on [sic]” (Hutchins, 2000) … 
","Human health and social work activities"
"[PDF][PDF] The Personality Lexicon in Brazilian Portuguese: Studies with Natural Language","… PhD. Jacob Arie Laros (Supervisor) Social, Work and Organizations Psychology Graduate
Program, University of Brasilia … Page 20. 20 as it reveals that 78.6% of the Big Five studies
between 2008 and 2013 used surveys for data collection … 
","Human health and social work activities"
"Suicide attempts of community adolescents and young adults: an explanatory and predictive epidemiological approach","… My first association with (co-)authorship is intensive learning (again). That's not the worst first
association … the focus away from risk factors towards risk algorithms, ie Machine Learning (ML).
ML is deemed to be well suited to investigate complex associations in data … 
","Human health and social work activities"
"Strategies For-Profit Educational Leaders Use to Reduce Employee Turnover and Maintain Sustainability","… 54 Data Analysis .....55 … Employee retention is a global problem that
educational leaders need to address to promote a high-quality learning
environment (Samuel & Chipunza, 2013). Leaders who … 
","Human health and social work activities"
"Digital Strategies Senior Bank Executives in Mauritius use to Improve Customer Service","… Table 6. T5 Innovation In-Case and Cross-Case Voice Distribution .....94 Table 7. T5
Innovation Distribution Between Primary Data and Reports .....95 Page 12. v … information,
pay utility bills, set up recurring payments, and to effect faster money … 
","Human health and social work activities"
"Future Implications of the Psychopathy Construct for Criminology and Criminal Justice Policy and Practice","… Torture, 6 For example, Rhodes (2002) provides participation observation data showing that …
Sensors and machine learning algorithms have been designed that can measure affective
information … In addition, artificial intelligence advances that can make robots “feel” so to speak … 
","Human health and social work activities"
"The personality lexicon in Brazilian Portuguese: studies with natural language","… PhD. Jacob Arie Laros (Supervisor) Social, Work and Organizations Psychology Graduate
Program, University of Brasilia … Page 20. 20 as it reveals that 78.6% of the Big Five studies
between 2008 and 2013 used surveys for data collection … 
","Human health and social work activities"
"Monitoring system and device with sensors and user profiles based on biometric user information","… for specific business sectors, eg utilities or tourism; G06Q50/10—Services; G06Q50/22—Socialwork; … Any third party device can receive data from the user monitoring device 10 wirelessly … AnArtificial Intelligence (AI) or Machine Learning-grade algorithms is used to identify the … 
","Human health and social work activities"
"A review on the practice of big data analysis in agriculture","… to the other research areas employing big data analysis, “agriculture” ranks at … stations, humans
as sensors, web-based data, GIS geospatial data, feeds from … web services, mobile applications,
statistical analysis, modeling, simulation, benchmarking, big data storage, message … 
","Agriculture, forestry and fishing"
"Publicising food: big data, precision agriculture, and co-experimental techniques of addition","… A number of technological forms are thus investigated: eg, big data (big soil data, big climatedata, etc.), precision agriculture, and a variety of internet-based platforms utilised by
self-described activists and proponents of more local and regional based foodscapes … 
","Agriculture, forestry and fishing"
"[HTML][HTML] Analysis of agriculture data using data mining techniques: application of big data","In agriculture sector where farmers and agribusinesses have to make innumerable decisions every day and intricate complexities involves the various factors influencing them. An essential issue for agricultural planning intention is the accurate yield estimation for the …","Agriculture, forestry and fishing"
"Big data in agriculture: a challenge for the future","… Article Navigation. Big Data in Agriculture: A Challenge for the Future. Keith H Coble.
Department of Agricultural Economics, Mississippi State University. Correspondence
to be sent to: coble@agecon.msstate.edu. Search for other … 
","Agriculture, forestry and fishing"
"IoT based agriculture as a cloud and big data service: the beginning of digital India","… Agriculture System Mechanism QoS-aware (Parameter) Domains Data Classification Resource
Management Big Data … thedifferent classlabelsofusers.K-NNissupervisedmachinelearning
techniquewhich … Thefinalstepistointerprettheagriculturedatasubmittedbydifferentusersof … 
","Agriculture, forestry and fishing"
"IoT, big data science & analytics, cloud computing and mobile app based hybrid system for smart agriculture","… Aadhar linked agricultural information network can be easily conceptualized using mobile
communication and big data analytics operating on geo-spatial data already available with Ministry
of agriculture, ISRO, Survey of India to optimize resource availability, spread and … 
","Agriculture, forestry and fishing"
"Estimating the environmental impact of agriculture by means of geospatial and Big Data analysis: The case of Catalonia","… develop online tools that allow policymakers to perceive, visualize and analyze the impact ofagriculture, facilitating decision making towards mitigating or eliminating negative effects on the
environment. Big data analysis is crucial for analyzing vast amounts of data (eg weather … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Effective use of Big Data Analytics in Crop planning to increase Agriculture Production in India","… use of multi-sensor data such as satellites, IoT, and drones, and artificial intelligence algorithms
to … that collect data from internet and store it to an open Agriculture database with … The data clusteringalgorithm will run inside of Hadoop platform that offers parallel processing and … 
","Agriculture, forestry and fishing"
"Disaster risk reduction in agriculture through geospatial (Big) data processing","… ajax/scifeed/subscribe. Quick Links. Open Access This article is: freely available; re-usable. ISPRS
International Journal of Geo-Information 2017, 6(8), 238; doi:10.3390/ijgi6080238. Article. Disaster
Risk Reduction in Agriculture through Geospatial (Big) Data Processing … 
","Agriculture, forestry and fishing"
"… AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Machine learning and data mining advance predictive big data analysis in precision animal agriculture","Precision animal agriculture is poised to rise to prominence in the livestock enterprise in the domains of management, production, welfare, sustainability, health surveillance, and environmental footprint. Considerable progress has been made in the use of tools to …","Agriculture, forestry and fishing"
"Surveillance Farm: Towards a Research Agenda on Big Data Agriculture","… Klauser: Surveillance Farm Surveillance & Society 16(3) 373 Smart Farming and Society BigData in agriculture raises major issues in terms of data quality, access to and ownership of data
(Dürr, Kaufmann, and Meier 2004; Carolan forthcoming), and data security (Wolfert et al … 
","Agriculture, forestry and fishing"
"New trends in precision agriculture: a novel cloud-based system for enabling data storage and agricultural task planning and automation","It is well-known that information and communication technologies enable many tasks in the context of precision agriculture. In fact, more and more farmers and food and agriculture companies are using precision agriculture-based systems to enhance not only their products …","Agriculture, forestry and fishing"
"Assessing and mitigating the impact of livestock agriculture on the environment through geospatial and big data analysis","… Assessing and mitigating the impact of livestock agriculture on the environment through geospatial
and big data analysis … By Keyword: policy tool; livestock agriculture; environmental impact;
assessment; geospatial analysis; big data analysis. By Author: Andreas Kamilaris; … 
","Agriculture, forestry and fishing"
"From the Dust Bowl to Drones to Big Data: The Next Revolution in Agriculture","… Precision Agriculture and Big Data While precision agriculture (PA) and big data are related,
they are not … across years) variability asso- ciated with all aspects of agricultural pro- duction (Figure
1). Big data refers to the collection, analysis, and synthesis of large data sets that … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Machine learning and data mining advance predictive big data analysis in precision animal agriculture","Precision animal agriculture is poised to rise to prominence in the livestock enterprise in the domains of management, production, welfare, sustainability, health surveillance, and environmental footprint. Considerable progress has been made in the use of tools to …","Agriculture, forestry and fishing"
"Big Data and Climate Smart Agriculture-Review of Current Status and Implications for Agricultural Research and Innovation in India","… 23,24,25 . This difference from essentially data driven business analytics is most critical for
applications of big data analytics in scientific knowledge discovery domains such as agriculture.
Perhaps no other area is so alluring for big data-based innovations than … 
","Agriculture, forestry and fishing"
"… Big data and occupational health surveillance: use of french medico-administrative databases for hypothesis generation regarding occupational risks in agriculture","… prev- alences combining experts' judgment based on objective data- bases … 1154 BIG DATA AND
OCCUPATIONAL HEALTH SURVEILLANCE: USE OF FRENCH MEDICO … FOR HYPOTHESIS
GENERATION REGARDING OCCUPATIONAL RISKS IN AGRICULTURE 1,2C … 
","Agriculture, forestry and fishing"
"0245 Big data and occupational health vigilance: use of french medico-administrative databases for hypothesis generation regarding occupational risks in agriculture","… Poster Presentation. Methodology. 0245 Big data and occupational health vigilance: use of …
medico-administrative databases for hypothesis generation regarding occupational risks inagriculture … complementary methods relying on exploitation of already existing data, such as … 
","Agriculture, forestry and fishing"
"[HTML][HTML] Big Data and Climate Smart Agriculture-Status and Implications for Agricultural Research and Innovation in India","… 7, 791-802 Chen S, Wu C and Yu Y (2016) Analysis of Plant Breeding on Hadoop and Spark,
Advances in Agriculture, Vol 2016 … Dhar V (2015) The scope of machine learning and deep learning,Big Data Volume 3 Number 3, 127-129. Dhar V (2013) Data science and prediction … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Is big data driving a paradigm shift in precision agriculture","… Much of the discussion focuses on whether the arrival of big data signals the emergence of or
need for a new … Adoption, profitability, and making better use of precision farming data … The research
status on precision agriculture by use of bibliometric analysis from three databases … 
","Agriculture, forestry and fishing"
"Big data ethics and the digital age of agriculture","… In conclusion, digital agriculture and the use of big data will allow producers to artificially increase
their farm acreage through aggregation of data to make informed decisions. These data-driven
decisions aim to accelerate the progress of successful farm practices … 
","Agriculture, forestry and fishing"
"BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM: Data to decisions","Big data are frequently used in many facets of business and agronomy to enhance knowledge needed to improve operational decisions. Livestock operations collect data of sufficient quantity to perform predictive analytics. Predictive analytics can be defined as a …","Agriculture, forestry and fishing"
"Multi-sensor Data Fusion Algorithm of Wisdom Agriculture Based on Fusion Set","In wisdom agriculture, the advanced high-tech equipment is applied and human input is reduced to lower the operation and management costs and enhance agricultural management efficiency. In this thesis, a multi-sensor data fusion algorithm based on fusion …","Agriculture, forestry and fishing"
"[PDF][PDF] BIG DATA ANALYTICS AND PRECISION ANIMAL AGRICULTURE SYMPOSIUM","… intelligence dedicated to the study of algorithms for prediction and inference. Learning … about
the data-generating mechanism in practical scenarios. Precision animal agriculture allows
farmers to formulate prompt management practices, and a predictive … 
","Agriculture, forestry and fishing"
"Application of big data in precision agriculture.","Precision agriculture is the future way for agricultural modernization. The rapid expansion of
agricultural data and the development of big data technology provide a new method for the
development of precision agriculture, and become an important force leading to the development … 
","Agriculture, forestry and fishing"
"Exploring a big data approach to building a list frame for urban agriculture: a pilot study in the city of Baltimore","… In five percent of the cases, the presence or absence of agriculture could not be ascertained from
either an interview or by observation Adopted lots 48 … Web crwal 11% Animal husbandry data
15% Fig … Young et al.: A Big Data Approach to Building a List Frame 333 … 
","Agriculture, forestry and fishing"
"CGIAR platform for big data in agriculture","… Yearly conference on Big Data in Agriculture 5 communities of practice: • Geo-spatial data •Data-driven Agronomy • Crop Modeling • Ontologies • Socio-economic data bigdata.cgiar.org
@CGIAR_data #BigDataInAg #CoP_SED extranet.cimmyt.org/CoP_SED … 
","Agriculture, forestry and fishing"
"Unlocking Big Data's Potential to Strengthen Farmers' Resilience: The Platform for Big Data in Agriculture","… Harnessing the potential of Big Data, CGIAR developed the Platform for Big Data in Agriculture
seeking to enable the development sector to embrace data and other digital technology
approaches to solve agricultural development problems faster, better and at greater scale … 
","Agriculture, forestry and fishing"
"[PDF][PDF] CGIAR Platform for Big Data in Agriculture (Big Data)-Plan of Work and Budget for 2018","1.1 Adjustments/ Changes to Your Theories of Change .................................................................. 
3 … 2.2 Financial Plan for 2018, including use of W1/2 ...................................................................
...... 8 … Table B: Cross-cutting Aspect of Expected Outputs …","Agriculture, forestry and fishing"
"Data Mining Technology with Fuzzy Logic, Neural Networks and Machine Learning for Agriculture","Farmers countenance failure as the crop cultivation decisions by farmers always depend on current market price as the production sustainability processes are not taken into consideration. So there should be some platform which guides the farmer for taking correct …","Agriculture, forestry and fishing"
"Machine learning based data processing and latency reduction in the internet of things for agriculture","The Internet of Things is best stated as a network of “things” that have the ability to generate and share information between themselves and interact with the environment according to the percepts from this environment. This network between these devices and humans …","Agriculture, forestry and fishing"
"[PDF][PDF] Application of Data Warehouse and Big Data Technology in Agriculture in India","In the recent years, it is observed that the scientist, planners, executives across the globe are using data collected from traditional record keeping by government agencies, data collected using sensors and satellite imagery technologies and combining it with predictive weather …","Agriculture, forestry and fishing"
"Addressing Big Data in EU and US Agriculture: a Legal Focus","… 7 M. E. Sykuta, Big Data in Agriculture: Property Rights, Privacy and Competition in Ag Data
Services, in International Food and Agribusiness Management Review 19 (2016), p. 60. EFFL
6|2017 Page 2. 508 | Addressing Big Data in EU and US Agriculture: a Legal Focus … 
","Agriculture, forestry and fishing"
"Research and Application of Spark Platform on Big Data Processing in Intelligent Agriculture of Jilin Province","… (2) The agricultural big data processing method of intelligent agriculture in Jilin … algorithm
characterized by dynamic and rapid expansion, combining the Spark streaming flow calculation
framework, able to real-time analyze continuous and rapid changes in the massive data … 
","Agriculture, forestry and fishing"
"Cloud service oriented architecture (CSoA) for agriculture through internet of things (IoT) and big data","… number of technical advancements such as smart farming with Intenet of things (IoT), Big Data,
cloud service … On the whole the agriculture Internet of Things (IoT) proposed is a combination
of several … The sensors get the data related to crop monitoring and send to the server … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Agriculture Big Data (AgBD) Challenges and Opportunities From Farm To Table: A Midwest Big Data Hub Community Whitepaper","… of learning samples) underlying common machine learning and big data analytics methods … need
to develop computationally scalable methods to analyze spatiotemporal datasets in agriculture …
to support researchers to develop scalable spatiotemporal data analytics methods … 
","Agriculture, forestry and fishing"
"[PDF][PDF] A review on big data analytics in the field of agriculture","… Processing OLTP Analytical Big data Processing … We plan to work on precisionagriculture techniques. DISTRIBUTED NOSQL DATABASE FILE SYSTEM
PROGRAMMING COLUMN-DATA MODEL DOCUMENT-DATA MODEL … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Digital revolution and Big Data: a new revolution in agriculture.","… New technologies such as the IoT and cloud computing are expected to leverage this system
and introduce more robots and artificial intelligence in farming. Digital agriculture is driven by
the phenomenon of BD wherein massive volumes of data with a wide variety can be … 
","Agriculture, forestry and fishing"
"[PDF][PDF] Panel QA: Ending hunger;'Big data'for smallholders; Digitalising agriculture","… CEOs, researchers need and will absorb much more complex and comprehensive data and will …
themselves leading to a number of fiscal, health and infrastructure and agriculture messages …
We haven't discussed seasonal weather forecasting, which is a 'big data' problem, a … 
","Agriculture, forestry and fishing"
"Advanced Visualisation of Big Data for Agriculture as Part of Databio Development","… 6. REFERENCES [1] T. Reznik, V. Lukas, K. Charvat, K. Charvat jr., Z. Krivanek, M. Kepka, L.
Herman, H. Reznikova, “Disaster Risk Reduction in Agriculture through Geospatial (Big) Data
Processing,” ISPRS International … [2] DataBio [Data-Driven Bioeconomy official … 
","Agriculture, forestry and fishing"
"The big data processing platform for intelligent agriculture","… Li Hong and Yunhua Zhang proposed the use of hadoop to build a big data processing platform
of agriculture in the ""massive agricultural data cloud platform research""[3].In the text ""large data
in the wisdom of agriculture in the research and application outlook,"" ,Sun Zhongfu … 
","Agriculture, forestry and fishing"
"Research on the Multi-agent Synergic Mechanism for the Opening and Sharing of Big Data in Chinese Agriculture","… The American agricultural big data system has the characteristics of taking the official data of
the ministry of agriculture as the core and rich data content [6] [7]. In order to integrate public data
of member states, the EU has built a normalized and standardized data sharing … 
","Agriculture, forestry and fishing"
"Artificial Intelligence on Remote Sensing Data for Precision Agriculture Applications","Precision agriculture benefits greatly from information provided by high spatial resolution and high temporal frequency remotely sensed images. It requires effective methodologies and algorithms to exact information from the huge volume, dimension and variety of raw …","Agriculture, forestry and fishing"
"Big data analytics in agriculture and distribution channel","… with map reduce using ct image analysis provide best result [3] Precision agriculture presents
great … My proposed solution for this all type of problem use big data for distributed computing … as
use bossiness analytical application like pentaho BI that give 3d data visualization with … 
","Agriculture, forestry and fishing"
